DEPTH_WMSF (m),HSGR (gAPI),HCGR (gAPI),HFK (%),HTHO (ppm),HURA (ppm),HBHK (%),IDPH (ohmm),IMPH (ohmm),SFLU (ohmm),RHOM (g/cm3),DRH (g/cm3),PEFL (barns/e-),NRHB (g/cm3),APLC (%),STOF (in),SIGF (cu),AFEC (cps),ANEC (cps),IMAGE_ID,ROCK_CLASS
110.038,17.537,6.6371,0.1366,1.3279,1.4745,-0.0982,0.8087,0.8261,0.7519,1.7863,0.0059,3.8903,1.7863,59.7119,0.6845,25.1253,456.6667,2501.1428,1098_1194B,Wackestone
110.1904,16.5187,5.5536,0.1163,1.0995,1.5149,-0.0982,0.811,0.8257,0.7426,1.7975,0.008,3.9267,1.7975,57.5687,0.9418,24.4298,461.1429,2538.6667,1104_1194B,Wackestone
110.3428,16.0481,5.5624,0.1279,1.0342,1.4525,-0.0982,0.8138,0.8261,0.7394,1.7975,0.007,3.8916,1.7975,57.6857,0.5757,25.3222,466.2857,2597,1110_1194B,Wackestone
110.4952,15.0296,5.2107,0.1134,1.0064,1.3619,-0.0982,0.8156,0.8287,0.7395,1.7993,0.0086,3.7642,1.7993,58.592,0.5799,24.3403,464.5714,2536,1116_1194B,Wackestone
110.6476,14.8204,5.5031,0.1184,1.0712,1.3088,-0.0982,0.8204,0.8339,0.7523,1.7975,0.0103,3.7456,1.7975,58.9023,0.6898,23.7053,470.8571,2542,1122_1194B,Wackestone
110.8,15.79,5.6373,0.1342,1.0219,1.4218,-0.0982,0.8279,0.8407,0.7624,1.7911,0.0108,3.7374,1.7911,61.4664,0.7391,23.3887,453.1429,2516,1128_1194B,Wackestone
110.9524,16.9163,6.0651,0.1287,1.1908,1.5388,-0.0982,0.8353,0.8483,0.7679,1.779,0.0091,3.8275,1.779,64.4249,0.3106,24.2084,442,2551.4285,1134_1194B,Wackestone
111.1048,17.9625,6.7135,0.1665,1.1773,1.5949,-0.0982,0.8393,0.8567,0.7729,1.7758,0.0075,3.857,1.7758,65.8407,0.5195,23.8213,463.4286,2595,1140_1194B,Wackestone
111.2572,17.1298,6.758,0.1717,1.1614,1.4355,-0.0982,0.8494,0.8657,0.7719,1.7835,0.0073,3.978,1.7835,65.8,0.4086,24.3021,459.5,2554.8572,1146_1194B,Wackestone
111.4096,16.7796,6.5755,0.1876,1.0094,1.3904,-0.0982,0.8608,0.8753,0.7748,1.7939,0.0062,3.9469,1.7939,59.734,0.5838,23.7526,465.5,2566.8572,1152_1194B,Wackestone
111.562,17.4935,6.9556,0.2093,1.0044,1.4146,-0.0982,0.8635,0.8849,0.7878,1.7968,0.0038,3.9901,1.7968,56.4483,0.6484,24.0974,451.4286,2560,1158_1194B,Wackestone
111.7144,18.3308,8.3042,0.2428,1.2405,1.3215,-0.0982,0.8646,0.8925,0.8383,1.8081,0.0022,3.9528,1.8081,52.0877,0.7464,24.2091,477.3333,2526,1164_1194B,Wackestone
111.8668,18.8398,8.5896,0.2468,1.309,1.3277,-0.0982,0.8641,0.8954,0.8564,1.8173,0.0049,4.08,1.8173,53.5861,0.7447,24.8613,481.7143,2537.1428,1170_1194B,Packstone
112.0192,17.881,7.7241,0.2176,1.2024,1.3176,-0.0982,0.8612,0.8925,0.851,1.8213,0.0082,4.1117,1.8213,56.8265,0.7892,24.938,476.5714,2586.2856,1176_1194B,Packstone
112.1716,18.9951,8.5089,0.2621,1.1932,1.3349,-0.0982,0.8588,0.8849,0.7988,1.8116,0.0161,4.0477,1.8116,61.7036,0.8406,24.9677,473.7143,2554,1182_1194B,Packstone
112.324,18.4259,8.383,0.2437,1.2607,1.241,-0.0982,0.8549,0.8752,0.751,1.7953,0.0156,3.9892,1.7953,63.0108,0.7237,26.0111,500.5714,2592.5715,1188_1194B,Packstone
112.4764,19.2251,8.5915,0.23,1.4077,1.3321,-0.0982,0.851,0.8668,0.7471,1.7916,0.017,3.9239,1.7916,61.8984,0.7202,26.3668,471.5,2552,1194_1194B,Packstone
112.6288,18.91,8.719,0.2594,1.2762,1.2076,-0.0982,0.8387,0.8611,0.7603,1.7961,0.0199,4.0013,1.7961,62.5136,0.7342,26.5033,457.7143,2551.4285,1200_1194B,Packstone
112.7812,20.5855,9.4525,0.2731,1.4313,1.2625,-0.0982,0.8208,0.8565,0.7769,1.7963,0.0143,4.0437,1.7963,63.3906,0.4192,28.4497,477.1429,2522.2856,1206_1194B,Packstone
112.9336,21.2885,9.3339,0.2719,1.4006,1.3724,-0.0982,0.8112,0.8503,0.7818,1.7809,0.0091,3.9983,1.7809,64.7383,0.3359,29.5314,453.1429,2532,1212_1194B,Wackestone
113.086,22.3157,10.281,0.283,1.639,1.4049,-0.0982,0.8057,0.8404,0.755,1.7633,0.0074,3.8743,1.7633,64.3943,0.0771,29.8671,461.1429,2548.5715,1218_1194B,Wackestone
113.2384,22.5818,9.7642,0.2667,1.5689,1.4791,-0.0982,0.7975,0.8271,0.7345,1.747,0.0077,3.742,1.747,65.6759,-999.25,28.8089,451.4286,2515,1224_1194B,Packstone
113.3908,23.2455,8.9902,0.2568,1.3787,1.6947,-0.0982,0.7873,0.8124,0.7322,1.7405,0.0085,3.7365,1.7405,65.6602,-999.25,28.4409,442.8571,2559.4285,1230_1194B,Packstone
113.5432,22.7717,8.5271,0.2582,1.2218,1.7112,-0.0982,0.7791,0.7993,0.7316,1.74,0.0102,3.7759,1.74,66.4738,0.2003,27.8111,458.2857,2588,1236_1194B,Packstone
113.6956,23.5598,8.9716,0.2794,1.2401,1.7896,-0.0982,0.7758,0.7898,0.7279,1.7336,0.0084,3.7848,1.7336,65.3341,0.0464,27.4059,456.5,2567.4285,1242_1194B,Packstone
113.848,22.989,7.9545,0.2432,1.1262,1.853,-0.0982,0.7748,0.7846,0.7316,1.729,0.0084,3.7796,1.729,66.8379,0.2502,27.2172,465.1429,2512.5715,1248_1194B,Packstone
114.0004,22.0253,6.8954,0.222,0.9108,1.9004,-0.0982,0.777,0.7839,0.7382,1.7229,0.0087,3.7414,1.7229,65.948,0.7015,26.9555,462.8571,2522,1254_1194B,Packstone
114.1528,22.0294,6.7126,0.2284,0.8149,1.947,-0.0982,0.7802,0.7877,0.7959,1.7245,0.0074,3.6852,1.7245,67.3102,0.6401,26.9066,470.8571,2504,1260_1194B,Packstone
114.3052,23.6396,6.3702,0.2134,0.7925,2.217,-0.0982,0.7832,0.7953,0.866,1.7295,0.0069,3.7086,1.7295,68.4055,0.6098,27.3263,454,2529.7144,1266_1194B,Packstone
114.4576,26.8462,6.6902,0.2293,0.8023,2.626,-0.0982,0.7903,0.8051,0.8756,1.7411,0.0075,3.7337,1.7411,67.6054,0.6493,27.2357,452,2532.5715,1272_1194B,Packstone
114.61,28.0097,6.3666,0.2134,0.7915,2.7817,-0.0982,0.8019,0.8157,0.8738,1.7491,0.0071,3.8153,1.7491,69.5906,0.5456,26.791,437.7143,2582.5,1278_1194B,Packstone
114.7624,29.2533,4.9783,0.169,0.6067,3.0693,-0.0982,0.8257,0.8272,0.8354,1.7528,0.006,3.8715,1.7528,69.8291,0.5228,26.4594,460,2567.4285,1284_1194B,Packstone
114.9148,30.7548,4.2105,0.1446,0.5034,3.3616,-0.0982,0.8904,0.8453,0.7649,1.7533,0.0067,3.8861,1.7533,69.2368,0.563,26.666,434.5,2538,1290_1194B,Packstone
115.0672,32.2561,3.3029,0.112,0.4029,3.6353,-0.0982,0.9706,0.8858,0.7163,1.7497,0.0063,3.8528,1.7497,67.1868,0.3272,25.9327,491.4286,2544.5715,1296_1194B,Packstone
115.2196,42.3105,3.5989,0.1169,0.4695,4.8328,-0.0982,1.0062,0.9766,0.7158,1.7686,0.0066,3.8151,1.7686,60.3367,-999.25,26.2127,486.8571,2524.5715,1302_1194B,Grainstone
115.372,75.5924,5.8332,0.1828,0.7995,8.6306,-0.0982,1.1293,1.1587,0.835,1.8557,0.0398,3.8042,1.8557,46.9643,-999.25,25.2699,555,2572,1308_1194B,Packstone
119.6392,21.9077,8.4346,0.2251,1.3858,1.6369,-0.0982,0.9217,0.9353,0.8627,1.8791,-0.0273,3.8913,1.8791,49.9382,0.3312,22.3498,501.3377,2621.3447,1476_1194B,Floatstone
119.7916,22.2213,8.2124,0.2224,1.3305,1.6988,-0.0982,0.9203,0.9344,0.8705,1.898,-0.0232,3.7812,1.9002,50.1727,0.2801,22.8985,498.0294,2628.1787,1482_1194B,Floatstone
119.944,23.4644,8.3079,0.2298,1.3174,1.8271,-0.0982,0.9178,0.939,0.9025,1.9262,-0.0191,3.6992,1.923,50.1571,0.3088,22.8682,517.3314,2661.9299,1488_1194B,Floatstone
120.0964,24.9567,8.449,0.2323,1.3481,1.9794,-0.0982,0.9155,0.9467,0.9525,1.9546,-0.0164,3.7555,1.9413,47.1645,0.395,22.4965,538.5402,2653.8298,1494_1194B,Floatstone
120.2488,26.2915,8.0902,0.2159,1.3289,2.1649,-0.0982,0.9128,0.954,0.9836,1.9724,-0.0155,3.8008,1.9815,45.939,0.3466,21.6096,534.7034,2677.9221,1500_1194B,Floatstone
120.4012,26.4963,7.7503,0.1972,1.3298,2.2357,-0.0982,0.9113,0.957,0.9886,1.9757,-0.0161,3.9484,1.9944,44.0002,0.3571,21.9414,528.8889,2693.3333,1506_1194B,Floatstone
129.3928,20.9425,8.9572,0.2441,1.4425,1.5841,-0.0916,1.094,1.1217,1.0539,2.0152,-0.023,3.9227,2.0152,51.5517,0.1896,23.8921,529.1429,2625.1428,1860_1194B,Packstone
129.5452,20.4213,8.2851,0.2211,1.3615,1.636,-0.0916,1.0995,1.1355,1.0612,2.0258,-0.0192,3.7952,2.0313,46.9339,0.2443,22.2639,530.5,2612.5,1866_1194B,Packstone
129.6976,20.6494,6.7593,0.1919,1.0431,1.8759,-0.0916,1.1037,1.1517,1.1136,2.0311,-0.0156,3.7261,2.0792,42.4613,0.2531,20.8822,542.2857,2638.8572,1872_1194B,Packstone
129.85,20.4429,6.468,0.1946,0.9342,1.8459,-0.0916,1.1016,1.1659,1.1753,2.0344,-0.0133,3.9351,2.0482,40.1467,0.2628,19.7273,575.5,2676,1878_1194B,Packstone
138.8416,19.8081,8.1888,0.2294,1.2829,1.4798,-0.0916,1.0174,1.0374,1.0069,2.047,-0.0294,4.3479,2.047,41.9108,0.3329,20.4475,548.6981,2734.2395,2232_1194B,Packstone
