DEPTH_WMSF (m),HALC (%),HSIG (cu),HSTO (in),HNEC (cps),HFEC (cps),HROM (g/cm3),HLEF (barns/e-),HBDC (g/cm3),HDEB (g/cm3),IMAGE_ID,ROCK_CLASS
110.038,55.582,24.4069,0.8908,2482,462,1.7914,3.5389,0.0045,1.7898,493.522_494.792_40,Wackestone
110.0888,56.9946,24.7521,0.7797,2508,442,1.7918,4.0098,0.0039,1.789,493.522_494.792_42,Wackestone
110.1396,59.5299,25.5861,0.6749,2532,485.3333,1.7816,3.9658,0.0013,1.7929,493.522_494.792_44,Wackestone
110.1904,59.6363,24.0095,0.8967,2488,432,1.8018,4.0318,0.0054,1.7963,493.522_494.792_46,Wackestone
110.2412,59.8413,24.476,0.6123,2596,454,1.8017,3.9449,0.006,1.8033,493.522_494.792_48,Wackestone
110.292,60.0961,24.298,0.5939,2649.3333,484,1.8088,3.8576,0.0073,1.8053,494.792_496.062_0,Wackestone
110.3428,61.4471,23.3007,0.8608,2678,420,1.808,3.947,0.0112,1.8043,494.792_496.062_2,Wackestone
110.3936,61.7718,23.835,0.841,2490.6667,486,1.8007,3.8092,0.0134,1.802,494.792_496.062_4,Wackestone
110.4444,59.778,23.7147,0.8901,2552,488,1.8005,4.048,0.0139,1.7983,494.792_496.062_6,Wackestone
110.4952,58.9837,23.132,0.9077,2622,449.3333,1.7929,3.6772,0.0104,1.797,494.792_496.062_8,Wackestone
110.546,59.7015,24.5982,0.5094,2468,464,1.7962,3.7763,0.0115,1.7971,494.792_496.062_10,Wackestone
110.5968,61.2816,23.094,0.8293,2458,452,1.7972,3.6554,0.0125,1.8007,494.792_496.062_12,Wackestone
110.6476,61.4916,24.0156,0.6834,2514,498,1.8081,3.6601,0.0116,1.8007,494.792_496.062_14,Wackestone
110.6984,58.4328,23.8847,0.4792,2654,472,1.8004,3.7371,0.0092,1.7998,494.792_496.062_16,Wackestone
110.7492,59.9147,22.6771,0.6034,2596,434.6667,1.7939,3.8642,0.0083,1.7951,494.792_496.062_18,Wackestone
110.8,61.5292,22.8288,0.3739,2498,450,1.7905,3.8589,0.0086,1.7886,494.792_496.062_20,Wackestone
110.8508,62.4115,23.0006,0.4413,2474.6667,484,1.7829,3.7603,0.008,1.7818,494.792_496.062_22,Wackestone
110.9016,61.2897,22.6446,0.7292,2634,454,1.7703,4.0286,0.0072,1.7769,494.792_496.062_24,Wackestone
110.9524,65.2899,22.5988,0.6891,2578,446,1.7699,3.681,0.0078,1.7736,494.792_496.062_26,Wackestone
111.0032,69.3814,23.1353,0.541,2478.6667,426,1.776,3.6475,0.0103,1.7717,494.792_496.062_28,Wackestone
111.054,71.5376,23.3725,0.426,2605.3333,460,1.764,3.7664,0.0085,1.7737,494.792_496.062_30,Wackestone
111.1048,66.2633,25.0533,0.1527,2544,442,1.7747,4.0542,0.0114,1.7744,494.792_496.062_32,Wackestone
111.1556,67.1119,23.7738,0.5091,2618.6667,490,1.7789,3.9216,0.0118,1.7793,494.792_496.062_34,Wackestone
111.2064,65.068,23.6323,0.3317,2512,438.6667,1.7836,3.7362,0.0099,1.7844,494.792_496.062_36,Wackestone
111.2572,61.5556,23.1487,0.4544,2526.6667,489.3333,1.7913,3.9667,0.0078,1.788,494.792_496.062_38,Wackestone
111.308,59.5974,24.4316,0.5749,2640,446,1.7899,4.3454,0.005,1.7926,494.792_496.062_40,Wackestone
111.3588,64.8861,23.7301,0.6657,2570,469.3333,1.7998,4.2424,0.0054,1.792,494.792_496.062_42,Wackestone
111.4096,63.4039,24.2057,0.6751,2564,488,1.7911,4.1584,0.0038,1.7928,494.792_496.062_44,Wackestone
111.4604,63.7475,22.6631,0.7833,2568,446.6667,1.7924,3.7792,0.0031,1.794,494.792_496.062_46,Wackestone
111.5112,60.4946,23.8587,0.625,2692,460,1.8029,3.5682,0.0025,1.7956,494.792_496.062_48,Wackestone
111.562,57.5518,23.8931,0.8664,2558,468,1.798,3.8134,0.002,1.8026,496.062_497.332_0,Wackestone
111.6128,55.651,23.2579,0.8339,2473.3333,434.6667,1.8121,4.0433,0.0047,1.8023,496.062_497.332_2,Wackestone
111.6636,53.8489,23.4583,0.5377,2470,470,1.8023,3.7657,0.0019,1.7966,496.062_497.332_4,Wackestone
111.7144,49.8462,24.2268,0.5398,2474,516,1.7904,4.1907,-0.0021,1.7917,496.062_497.332_6,Wackestone
111.7652,49.4742,23.6448,0.6115,2634,446,1.7846,4.1621,-0.0051,1.7964,496.062_497.332_8,Wackestone
111.816,47.651,23.6188,0.8628,2580,513.3333,1.8173,3.9047,-0.0006,1.8118,496.062_497.332_10,Wackestone
